Syllog;Aac;Eac;Iac;Oac;Aca;Eca;Ica;Oca;NVC;;;;;;;;;;;;;;;;
AA1;81.41025641;1.923076923;6.41025641;0;1.282051282;0;0.641025641;0;1.282051282;;;;;;;;;;;;;;;;156
AA2;34.61538462;0.641025641;2.564102564;0;48.07692308;0.641025641;3.846153846;0;1.282051282;;;;;;;;;;;;;;;;
AA4;49.35897436;1.282051282;12.17948718;0;9.615384615;0;3.846153846;0;22.43589744;;;;;;;;;;;;;;;;
AI2;1.923076923;1.282051282;19.87179487;0;0;0;70.51282051;0;3.846153846;;;;;;;;;;;;;;;;
AI4;0.641025641;0.641025641;54.48717949;1.923076923;0.641025641;0;28.84615385;0;5.769230769;;;;;;;;;;;;;;;;
AE1;0;78.20512821;0.641025641;0.641025641;0;8.333333333;0;0;0.641025641;;;;;;;;;;;;;;;;
AE2;0;25.64102564;0.641025641;1.282051282;0;52.56410256;0;3.205128205;12.82051282;;;;;;;;;;;;;;;;
AE3;0.641025641;33.33333333;1.282051282;0;0;47.43589744;0;0;10.25641026;;;;;;;;;;;;;;;;
AE4;2.564102564;50.64102564;0;7.692307692;0;12.82051282;0;2.564102564;19.23076923;;;;;;;;;;;;;;;;
AO3;1.282051282;3.205128205;6.41025641;13.46153846;0;0;8.974358974;40.38461538;19.87179487;;;;;;;;;;;;;;;;
AO4;0.641025641;2.564102564;8.974358974;53.84615385;0;0;3.846153846;7.051282051;14.1025641;;;;;;;;;;;;;;;;
IA1;6.41025641;0;82.05128205;1.282051282;0;0;5.769230769;0;1.282051282;;;;;;;;;;;;;;;;
IA4;1.282051282;0.641025641;44.23076923;0;0.641025641;0.641025641;37.17948718;0;5.128205128;;;;;;;;;;;;;;;;
IE1;0;24.35897436;8.333333333;44.23076923;0;8.333333333;0;0;8.974358974;;;;;;;;;;;;;;;;
IE2;0;16.02564103;3.205128205;13.46153846;0;29.48717949;0.641025641;5.128205128;26.92307692;;;;;;;;;;;;;;;;
IE3;0;14.74358974;5.128205128;19.87179487;0;28.84615385;0;0.641025641;26.28205128;;;;;;;;;;;;;;;;
IE4;0.641025641;14.74358974;6.41025641;27.56410256;0;14.1025641;0;3.205128205;29.48717949;;;;;;;;;;;;;;;;
EA1;0.641025641;70.51282051;0.641025641;1.282051282;0;10.8974359;0;2.564102564;9.615384615;;;;;;;;;;;;;;;;
EA2;0;27.56410256;1.923076923;1.282051282;1.282051282;50.64102564;0;0;8.333333333;;;;;;;;;;;;;;;;
EA3;0;63.46153846;1.282051282;0.641025641;0;16.66666667;0;2.564102564;10.25641026;;;;;;;;;;;;;;;;
EA4;0.641025641;44.87179487;2.564102564;1.282051282;0;21.15384615;0;8.974358974;16.02564103;;;;;;;;;;;;;;;;
EI1;0;53.20512821;2.564102564;4.487179487;0;6.41025641;1.923076923;7.692307692;18.58974359;;;;;;;;;;;;;;;;
EI2;0;16.02564103;3.846153846;1.282051282;0;10.8974359;6.41025641;37.17948718;16.66666667;;;;;;;;;;;;;;;;
EI3;0;33.33333333;5.128205128;0.641025641;0;9.615384615;2.564102564;21.15384615;21.15384615;;;;;;;;;;;;;;;;
EI4;0;27.56410256;3.846153846;5.128205128;0;8.333333333;1.923076923;15.38461538;32.05128205;;;;;;;;;;;;;;;;
OA3;0;1.282051282;19.23076923;35.8974359;0;0;1.282051282;9.615384615;22.43589744;;;;;;;;;;;;;;;;
